Food Name,Measure,Weight (g),Energy (kcal),Energy (kJ),Protein (g),Carbohydrate (g),Total Sugar (g),Total Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Calcium (mg),Iron (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Vitamin A (RAE),Folate (DFE),Vitamin C (mg),Vitamin B12 (mcg)
Figs dried,2,17,42,175,1,11,8,1.6,tr,27,0.3,2,114,11,11,tr,1,0,2,tr,0
Figs raw,1,50,37,155,tr,10,8,1.5,tr,18,0.2,1,116,9,7,4,43,0,3,1,0
Fruit cocktail canned juice pack,125 mL,125,58,240,1,15,14,1.3,tr,10,0.3,5,119,9,18,19,193,0,4,3,0
Fruit cocktail canned light syrup pack,125 mL,128,73,304,1,19,18,1.3,tr,8,0.4,8,114,6,14,13,133,0,4,2,0
Fruit salad tropical canned heavy syrup pack,125 mL,136,117,489,1,30,N/A,1.8,tr,18,0.7,3,178,18,10,8,102,N/A,12,24,0
Fruit salad tropical canned juice pack,125 mL,131,70,272,1,18,16,1.1,tr,17,0.3,4,160,14,10,8,96,0,4,16,0
Grapefruit pink or red,0.5,123,52,216,1,13,8,2,tr,27,0.1,0,166,11,22,71,844,1745,16,38,0
Grapefruit white,0.5,118,39,163,1,10,9,2.1,tr,14,0.1,0,175,11,9,2,17,0,12,39,0
Grapes,20,100,69,289,1,18,15,1.2,tr,10,0.4,2,191,7,20,3,39,0,2,11,0
Groundcherries,10,49,26,108,1,5,N/A,N/A,tr,4,0.5,tr,75,N/A,19,17,210,N/A,3,5,0
Kiwifruit,1,76,46,194,1,11,7,2.3,tr,26,0.2,2,237,13,26,3,40,0,19,70,0
Lychees (litchis),10,96,63,265,1,16,15,1.2,tr,5,0.3,1,164,10,30,0,0,0,13,69,0
Mango,0.5,104,67,282,1,18,15,1.9,tr,10,0.1,2,161,9,11,39,461,0,14,29,0
Mango Dried Kirkland,0.5 cup,40,140,586,1,34,24,2,0,0,0,15,0,0,350,0,0,0,0,0,0
Melon cantaloupe cubes,125 mL,85,29,120,1,7,7,0.6,tr,8,0.2,14,226,10,13,143,1708,0,18,31,0
Melon honeydew cubes,125 mL,90,32,136,tr,8,7,0.7,tr,5,0.2,16,205,9,10,3,27,0,17,16,0
Melon watermelon cubes,125 mL,80,24,100,tr,6,5,0.3,tr,6,0.2,1,90,8,9,22,243,3639,2,7,0
Nectarine,1,136,60,250,1,14,11,2.3,tr,8,0.4,0,273,12,35,18,204,0,7,7,0
Orange,1,131,62,258,1,15,12,2.3,tr,52,0.1,0,237,13,18,8,93,0,39,70,0
Papaya cubes,125 mL,74,29,121,tr,7,4,1.3,tr,18,0.1,2,190,7,4,17,204,0,28,46,0
Peach,1,98,38,160,1,9,8,1.9,tr,6,0.2,0,186,9,20,16,159,0,3,6,0
Peach canned halves or slices juice pack,125 mL,132,58,243,1,15,14,1.7,tr,8,0.4,5,169,9,22,25,250,0,4,5,0
Peach canned halves or slices light syrup pack,125 mL,133,72,300,1,19,18,1.7,tr,4,0.5,7,129,7,15,24,233,0,4,9,0
Peach canned halves or slices water pack,125 mL,129,31,129,1,8,6,1.7,tr,3,0.4,4,128,6,13,35,340,0,4,4,0
Pear with skin,1,166,96,403,1,26,16,5,tr,15,0.3,2,198,12,18,2,22,0,12,7,0
Pear canned halves juice pack,125 mL,131,66,274,tr,17,13,2.1,tr,12,0.4,5,126,9,16,0,4,0,1,2,0
Pear canned halves light syrup pack,125 mL,133,76,316,tr,20,16,2.1,tr,7,0.4,7,88,5,9,0,0,0,1,2,0
Pear canned halves water pack,125 mL,128,37,155,tr,10,8,2,tr,5,0.3,3,68,5,9,0,0,0,1,1,0
Pineapple canned juice pack,125 mL,132,79,330,1,21,19,1.2,tr,18,0.4,1,160,18,8,3,30,0,7,12,0
Pineapple cubes,125 mL,82,42,174,tr,11,8,1.1,tr,11,0.2,1,88,10,7,2,28,0,16,46,0
Plantain baked or boiled sliced,125 mL,81,94,395,1,25,11,1.9,tr,2,0.5,4,378,26,23,37,300,0,21,9,0
Plum,1,66,30,127,tr,8,7,1.1,tr,4,0.1,0,104,5,11,11,125,0,3,6,0
Pomegranate (9.5 cm diam),0.5,77,53,220,1,13,13,0.5,tr,2,0.2,2,200,2,6,2,31,0,5,5,0
Prunes dried,3,25,60,253,1,16,10,1.8,tr,11,0.2,1,184,10,17,10,99,0,1,tr,0
Prunes dried cooked without added sugar,60 mL,63,67,281,1,18,16,3.6,tr,12,0.3,1,202,11,19,11,109,0,0,2,0
Raisins,60 mL,37,110,460,1,29,22,1.3,tr,18,0.7,4,275,12,37,0,0,0,2,1,0
Raspberries,125 mL,65,34,141,1,8,3,4.2,tr,16,0.4,1,98,14,19,1,8,0,14,17,0
Rhubarb frozen cooked with added sugar,125 mL,127,147,615,tr,40,36,2.5,tr,184,0.3,1,122,15,10,5,56,0,6,4,0
Strawberries,7,84,27,113,1,6,4,1.9,tr,13,0.4,1,129,11,20,1,6,0,20,49,0
Strawberries frozen unsweetened,125 mL,117,41,170,1,11,5,1.8,tr,19,0.9,2,173,13,15,2,32,0,20,48,0
Tangerine (mandarin),1,84,45,186,1,11,9,1.5,tr,31,0.1,2,139,10,17,11,130,0,13,22,0
Tangerine (mandarin) canned juice pack drained,125 mL,100,38,159,1,9,8,1.2,tr,12,0.3,5,136,11,11,25,298,0,5,34,0
#Fruit Juices
Apple juice ready-to-drink vitamin C added,125 mL,126,59,249,tr,15,14,0.1,tr,9,0.5,4,150,4,9,0,0,0,tr,52,0
Cranberry juice cocktail ready-to-drink vitamin C added,125 mL,134,76,318,0,19,16,0.1,tr,4,0.2,3,24,3,3,0,0,0,0,48,0
Cranberry juice unsweetened ready-to-drink,125 mL,134,61,257,1,16,16,0.1,tr,11,0.3,3,103,8,17,3,36,0,1,12,0
Cranberry-apple juice-drink ready-to-drink low Calorie vitamin C added,125 mL,127,24,100,tr,6,6,0.1,0,13,0.1,6,57,4,1,1,8,0,0,41,0
Grape juice frozen sweetened diluted vitamin C added,125 mL,132,67,281,tr,17,17,0.1,tr,5,0.1,3,28,5,5,0,7,0,1,20,0
Grape juice ready-to-drink vitamin C added,125 mL,132,81,337,1,20,20,0.1,tr,12,0.3,4,174,13,15,0,7,0,4,32,0
Grapefruit juice ready-to-drink unsweetened or freshly squeezed,125 mL,130,50,210,1,12,12,0.4,tr,10,0.3,1,206,14,17,1,11,0,13,44,0
Grapefruit juice ready-to-drink sweetened,125 mL,132,61,254,1,15,15,0.1,tr,11,0.5,3,214,13,15,0,4,0,13,36,0
Lemon juice canned or bottled,15 mL,15,3,14,tr,1,tr,0.1,tr,2,tr,3,16,1,1,tr,tr,0,2,4,0
Lime juice canned or bottled,15 mL,16,3,14,tr,1,tr,0.1,tr,2,tr,2,12,1,2,tr,2,0,1,1,0
Nectar apricot,125 mL,133,74,310,tr,19,18,0.8,tr,9,0.5,4,151,7,12,88,1042,0,1,44,0
Nectar mango,125 mL,133,68,281,tr,17,17,0.4,tr,23,0.5,7,32,4,3,46,533,0,9,20,0
Orange and grapefruit juice ready-to-drink,125 mL,130,56,235,1,13,13,0.1,tr,10,0.6,4,206,13,18,8,26,0,18,38,0
Orange juice frozen diluted,125 mL,132,59,247,1,14,11,0.3,tr,12,0.1,1,250,13,21,7,22,0,58,51,0
Orange juice ready-to-drink,125 mL,132,58,242,1,13,N/A,0.3,tr,13,0.2,1,250,14,14,5,61,0,24,43,0
Orange juice ready-to-drink refrigerated vitamin D and calcium added,125 mL,132,58,242,1,13,N/A,0.3,tr,185,0.2,1,250,14,14,5,N/A,0,N/A,43,0
Orange strawberry and banana juice ready-to-drink,125 mL,124,57,237,1,15,13,0.2,tr,14,0.3,5,124,12,15,1,21,0,21,31,0
Pineapple juice ready-to-drink vitamin C added,125 mL,132,74,309,tr,18,13,0.3,tr,22,0.3,1,177,17,11,0,4,0,30,32,0
Pomegranate juice ready-to-drink,125 mL,128,72,300,0,20,17,0,0,0,0,5,215,N/A,N/A,0,N/A,N/A,N/A,0,0
Prune juice ready-to-drink,125 mL,135,96,402,1,24,22,1.4,tr,16,1.6,5,373,19,34,0,3,0,0,6,0
#Dairy Foods and Other Related Products
Buttermilk,250 mL,259,104,432,9,12,12,2,1.4,10,300,0.1,272,391,28,230,18,0.2,13,0.57,0.4
Milk chocolate 1% M.F.,250 mL,264,166,695,9,28,26,3,1.6,8,304,0.6,161,449,34,272,153,2.6,13,0.9,0.44
Milk chocolate 2% M.F.,250 mL,264,190,795,8,27,26,5,3.3,18,301,0.6,158,446,34,269,145,2.6,13,0.9,0.43
Milk skim,250 mL,259,88,368,9,13,13,tr,0.2,5,324,0.1,109,404,28,261,158,2.7,13,1.37,0.47
Milk partly skimmed 1% M.F.,250 mL,258,108,454,9,13,13,3,1.6,13,307,0.1,113,387,28,245,150,2.6,13,1.13,0.48
Milk partly skimmed 2% M.F.,250 mL,258,129,539,9,12,13,5,3.3,21,302,0.1,106,387,28,242,142,2.8,13,1.19,0.48
Milk partly skimmed 2% M.F.  with added milk solids,250 mL,260,146,608,10,14,14,5,3.2,21,372,0.2,153,473,42,291,143,2.6,16,1.12,0.5
Milk whole 3.3% M.F.,250 mL,258,155,647,8,12,14,8,5.4,26,291,0.1,103,369,26,235,72,2.7,13,1.13,0.47
Rice beverage flavoured and unflavoured enriched,250 mL,259,127,531,tr,26,N/A,2,0.2,0,319,0.2,91,72,10,36,52,2.2,96,1.03,0.03
Soy beverage chocolate enriched,250 mL,257,162,673,6,26,20,4,0.6,0,323,1.2,136,367,38,131,180,2.6,29,1.8,0.67
Soy beverage original and vanilla enriched,250 mL,257,110,465,7,13,9,4,0.5,0,316,1.1,120,313,38,110,142,2.7,23,2.19,0.47
Soy beverage unsweetened enriched,250 mL,257,85,354,7,4,1,4,0.5,0,318,1.2,95,308,41,82,160,3.1,18,2.85,0.53
Silk Original Almond Milk,1 cup,240,60,251,1,8,7,1,2.5,0,0,450,0.7,150,160,17,30,150,0,0,3
#Processed Milk
Milk condensed sweetened canned (Eagle Brand),15 mL,19,62,260,2,11,11,2,1.1,7,55,tr,25,72,5,49,14,N/A,2,0.09,0.08
Milk evaporated partly skimmed canned diluted 2% M.F.,250 mL,258,122,512,10,15,13,3,1.6,10,369,0.3,149,422,35,264,104,2.9,11,0.28,0.41
Milk evaporated partly skimmed canned undiluted 2% M.F.,15 mL,16,15,62,1,2,2,tr,0.2,1,44,tr,18,51,4,32,12,0.3,1,0.03,0.05
Milk evaporated skim canned diluted 0.2% M.F.,250 mL,259,105,438,10,15,15,tr,0.2,5,392,0.4,157,446,38,262,159,2.9,12,0.32,0.42
Milk evaporated skim canned undiluted 0.2% M.F.,15 mL,16,13,53,1,2,2,tr,tr,1,47,tr,19,54,4,32,19,0.4,1,0.04,0.05
Milk evaporated whole canned diluted 7.8% M.F.,250 mL,258,178,744,9,13,13,10,6.3,39,349,0.3,143,403,33,270,86,2.9,11,0.21,0.42
Milk evaporated whole canned undiluted 7.8% M.F.,15 mL,16,21,89,1,2,2,1,0.8,5,42,tr,17,48,4,32,10,0.3,1,0.03,0.05
Milk reconstituted from skim milk powder,250 mL,259,86,360,8,13,13,tr,0.1,4,301,0.1,137,410,30,237,170,2.6,12,0.96,0.42
Skim milk powder,5 mL,1,5,22,1,1,1,tr,tr,tr,18,tr,8,25,2,14,10,0.2,1,0.06,0.03
#Milk Beverages
Chocolate milk chocolate flavour powder + 2% milk,250 mL,279,207,863,9,33,N/A,6,3.4,20,321,0.8,176,531,59,274,143,2.8,N/A,0.92,0.46
Chocolate milk syrup + 2% milk,250 mL,298,238,998,10,38,N/A,5,3.3,21,319,1,158,489,60,298,146,2.8,15,0.95,0.45
Eggnog,250 mL,268,362,1516,10,36,23,20,11.9,158,349,0.5,145,443,51,293,121,1.1,3,1.21,0.51
Hot chocolate aspartame sweetened powder + water,250 mL,270,78,326,3,15,9,1,0,0,127,1.1,240,569,46,189,38,N/A,3,0.35,0.29
Hot chocolate homemade with cocoa + 2% milk,250 mL,264,203,851,9,28,26,6,3.8,21,277,1.3,116,520,61,277,135,2.6,13,1.11,0.48
Hot chocolate powder + 2% milk,250 mL,264,255,1068,10,41,37,6,3.8,20,318,0.5,272,595,55,327,126,2.5,11,1.52,0.62
Hot chocolate powder + water,250 mL,291,160,669,2,34,30,2,0.9,3,64,0.5,206,285,35,125,0,N/A,0,0.52,0.23
Instant breakfast powder + 2% milk,250 mL,280,260,1087,16,36,12,5,3.1,24,555,3.9,286,811,61,459,444,2.6,12,2.21,1.41
Milk shake chocolate,250 mL,249,296,1240,8,53,52,7,4.2,27,329,0.8,276,558,40,314,45,1,12,0.8,0.55
Milk shake vanilla,250 mL,249,279,1166,10,44,44,8,4.7,30,364,0.2,237,456,30,286,62,0.5,17,1.3,0.49
#Yogurt / Yogourts and Fermented Milk Products
Drinkable yogourt,200 mL,207,145,607,5,24,24,3,2.1,12,191,0.2,81,257,23,157,N/A,0.2,25,0.58,0.23
Fresh cheese (Danimal Minigo),1,60,68,286,3,10,10,2,1.1,6,138,0.1,32,84,7,50,N/A,N/A,N/A,N/A,N/A
Kefir plain,175 mL,165,104,433,6,7,6,6,3.8,25,187,0.1,70,250,19,148,58,0.2,23,0.33,0.3
Yogurt parfait with berries and granola,175 mL,188,233,973,7,40,3,5,2.7,14,208,2.2,119,337,36,201,23,0,40,0.59,0.31
Yogurt plain 1-2% M.F.,175 mL,181,114,477,10,13,13,3,1.8,11,332,0.1,127,424,31,261,25,N/A,20,1.01,0.39
Yogurt plain 2-4% M.F.,175 mL,181,129,538,9,12,8,5,3.3,17,292,0.1,111,412,28,246,31,N/A,21,1.03,0.42
Yogurt plain fat-free,175 mL,189,79,332,8,11,9,tr,0,6,253,0.1,113,368,26,215,N/A,1.8,N/A,0.89,0.32
Yogurt vanilla or fruit 1-2% M.F.,175 mL,185,183,767,7,30,25,4,2.3,17,227,0.1,98,335,20,167,N/A,N/A,N/A,0.31,0.15
Yogurt vanilla or fruit fat-free,175 mL,181,116,484,8,21,19,tr,tr,4,229,0.2,103,349,20,163,N/A,N/A,N/A,0.59,N/A
Yogurt vanilla or fruit fat-free with sugar substitute,175 mL,189,94,394,7,16,14,tr,0,6,205,0.2,92,311,22,179,N/A,1.4,N/A,0.72,0.27
Plain Greek Yogurt 5%,175 g,175,180,753,16,8,4,0,9,6,35,175,0.1,55,250,14,200,0,0,0,0.75
Oikos Greek Yogurt 0% Plain,0.75 cup,175,100,418,17,6,5,0,0,0,5,175,0,50,225,tr,tr,tr,tr,0,tr
PC Greek Yogurt 0% Plain,0.50 cup,115,60,251,12,4,3,0,0,0,5,125,0,40,175,tr,tr,tr,tr,0,tr
#Cheese
Blue,50 g,50,177,738,11,1,tr,14,9.3,38,264,0.2,698,128,12,194,99,0.2,18,0.61,0.19
Brick,50 g,50,186,776,12,1,tr,15,9.4,47,337,0.2,280,68,12,226,146,0.2,10,0.63,0.18
Brie,50 g,50,167,699,10,tr,tr,14,8.7,50,92,0.3,315,76,10,94,87,0.2,33,0.83,0.26
Camembert,50 g,50,150,628,10,tr,tr,12,7.6,36,194,0.2,421,94,10,174,121,0.2,31,0.65,0.24
Cheddar,50 g,50,202,843,12,1,tr,17,10.5,53,361,0.3,311,49,14,256,133,0.1,9,0.42,0.19
Cheddar low fat (18% M.F.),50 g,50,141,590,14,1,N/A,9,5.8,28,453,0.1,363,47,18,292,75,N/A,10,0.83,0.15
Cottage cheese (1% M.F.),125 mL,119,86,359,15,3,3,1,0.8,5,73,0.2,500,103,6,160,13,N/A,14,0.75,0.2
Cream cheese light,30 mL,30,70,294,3,2,tr,5,3.4,17,34,0.5,90,51,2,44,56,N/A,5,0.18,0.09
Cream cheese regular,30 mL,29,103,430,2,1,tr,10,6.5,32,24,0.4,87,35,2,31,108,N/A,4,0.12,0.06
Edam,50 g,50,179,747,12,1,1,14,8.8,45,366,0.2,483,94,15,268,122,0.5,8,0.77,0.19
Feta,50 g,50,132,552,7,2,2,11,7.7,46,247,0.3,558,31,10,169,63,0.2,16,0.87,0.44
Goat cheese soft,50 g,50,134,561,9,tr,tr,11,7.3,23,70,1,184,13,8,128,144,0.2,6,0.1,0.19
Gouda,50 g,50,178,745,13,1,1,14,9,58,350,0.1,410,61,15,273,83,0.2,11,0.78,0.17
Gruyere,50 g,50,207,864,15,tr,tr,16,9.5,55,506,0.1,168,41,18,303,136,0.2,5,0.8,0.14
Imitation cheese,50 g,50,120,500,8,6,4,7,4.4,18,281,0.2,673,121,15,356,57,0,4,0.2,0.22
Mozzarella (22.5% M.F.),50 g,50,141,588,10,1,1,11,6.8,39,269,0.1,187,34,10,186,90,0.1,4,0.33,0.13
Mozzarella partially skimmed (16.5% M.F.),50 g,50,127,531,13,1,1,8,5.2,29,323,0.1,241,42,12,239,64,0.1,5,0.41,0.16
Parmesan grated,15 mL,6,27,114,2,tr,tr,2,1.1,6,70,0.1,97,8,2,46,8,tr,1,0.14,0.03
Processed cheese food thin slices,1,21,78,327,5,tr,tr,7,4.1,20,115,tr,310,35,6,107,53,tr,2,0.15,0.07
Processed cheese food thin slices light,1,21,50,209,4,2,2,3,1.8,11,110,tr,331,69,7,173,53,tr,4,0.23,0.1
Processed cheese spread (Cheez Whiz) 30 mL,31,90,375,5,3,N/A,7,4.1,17,174,0.1,503,75,9,271,N/A,0.1,2,0.12,0.13,
Processed cheese spread light (Light Cheez Whiz),30 mL,31,69,287,6,4,3,3,2.2,13,178,tr,491,107,9,317,91,N/A,N/A,N/A,0.2
Ricotta cheese partly skimmed milk,125 mL,131,181,756,15,7,tr,10,6.5,41,356,0.6,164,164,20,240,140,N/A,17,0.38,0.24
Romano grated,15 mL,6,25,103,2,tr,tr,2,1.1,7,67,tr,76,5,3,48,6,tr,tr,0.07,0.02
Swiss (Emmental),50 g,50,190,795,13,3,1,14,8.9,46,396,0.1,96,39,19,284,110,0.6,3,1.67,0.15
Swiss processed thin slices,1,21,70,291,5,tr,tr,5,3.3,18,161,0.1,285,45,6,159,41,0.2,1,0.26,0.06
Babybel Original Mini Cheese,1 mini wheel,21,70,293,5,0,0,0,6,4,20,150,0,160,30,5,110,50,4,0,0.4
#Cream
Half and half 10% M.F.,15 mL,15,18,76,tr,1,tr,2,1,5,16,tr,6,20,2,15,15,tr,tr,0.05,0.02
Sour cream 14% M.F.,15 mL,15,22,93,tr,1,tr,2,1.3,6,16,tr,6,19,1,14,17,0.1,2,0.04,0.02
Sour cream light 5% M.F.,15 mL,16,21,89,1,1,tr,2,1,6,22,tr,11,33,2,11,14,N/A,2,0.07,0.02
Table cream (coffee cream) 18% M.F.,15 mL,15,28,118,tr,1,tr,3,1.7,9,15,tr,6,19,1,13,25,0.1,tr,0.04,0.02
Whipped pressurized,60 mL,15,39,164,tr,2,1,3,2.1,12,15,tr,20,22,2,14,29,0.1,tr,0.04,0.01
Whipping cream 35% M.F. not whipped,15 mL,15,49,207,tr,tr,tr,5,3.3,19,10,tr,5,12,1,9,62,0.1,1,0.03,0.02
Whipping cream 35% M.F. sweetened whipped,60 mL,30,100,419,1,3,2,10,6.2,36,19,tr,10,23,2,17,117,0.2,1,0.05,0.03
Imitation Cream Products
Coffee whitener frozen liquid,15 mL,15,21,87,tr,2,2,2,0.3,0,1,tr,12,29,0,10,tr,0,0,0,0
Coffee whitener powdered,5 mL,2,11,45,tr,1,1,1,0.6,0,tr,tr,4,16,tr,8,tr,0,0,0,tr
Coffee whitener powdered light,5 mL,2,9,36,tr,1,1,tr,0.1,0,tr,tr,5,18,0,3,tr,0,tr,0,0
Dessert topping frozen,60 mL,19,60,253,tr,4,4,5,4.1,0,1,tr,5,3,tr,2,1,0,0,0,0
Dessert topping frozen low fat,60 mL,19,42,175,1,4,4,2,2.1,tr,14,tr,14,19,1,14,1,N/A,1,0.04,0.02
Dessert topping powdered prepared with 2% milk,60 mL,20,37,153,1,3,3,2,2,1,19,tr,12,31,2,18,9,0.2,1,0.07,0.03
Dessert topping pressurized,60 mL,18,47,196,tr,3,3,4,3.4,0,1,tr,11,3,tr,3,1,0,0,0,0
#Pudding
All flavours instant from mix prepared with 2% milk,125 mL,139,149,623,4,27,23,3,1.6,9,141,0.2,391,206,18,307,65,1.3,6,0.54,0.23
Chocolate ready-to-eat,1 unit,99,138,575,3,23,18,4,0.7,3,89,0.5,128,178,21,79,10,N/A,3,0,0.15
Chocolate ready-to-eat fat-free,1 unit,99,96,402,3,20,15,tr,0.2,1,72,0.8,168,139,19,75,47,N/A,4,0.22,0.15
Rice homemade,125 mL,119,160,669,4,32,19,2,1.2,7,115,0.3,55,211,18,112,51,1,5,0.24,0.19
Rice ready-to-eat,1 unit,99,161,675,2,22,N/A,7,1.2,1,51,0.3,84,59,8,67,25,0.1,3,0.21,0.07
Tapioca ready-to-eat,1 unit,99,118,493,2,19,18,4,0.6,1,83,0.2,157,95,8,78,0,N/A,3,0.21,0.1
Tapioca ready-to-eat fat-free,1 unit,99,88,368,2,20,16,tr,0,1,50,0.3,210,52,5,40,32,N/A,2,0.15,0.1
Vanilla ready-to-eat,1 unit,99,128,534,2,22,20,4,0.6,7,87,0.1,134,112,8,67,6,N/A,0,0.1,0.14
Vanilla ready-to-eat fat-free,1 unit,99,92,385,2,22,16,tr,tr,1,59,0.4,211,71,7,49,40,N/A,3,0.19,0.12
#Eggs and Egg Dishes
Egg substitute frozen (yolk replaced) cooked,2 eggs,111,226,947,14,4,17,2.9,4.6,8.8,2,89,2.4,291,258,88,60,1.9,14,0.35,2.2
Egg white cooked,1 large,33,16,66,3,tr,0,0,0,0,0,3,tr,106,39,4,0,0,0,0.01,0
Egg yolk cooked,1 large,17,59,249,3,1,6,1.7,2.3,0.8,202,22,0.7,34,17,64,106,0.8,30,0.88,1.4
Egg fried,2 large,92,173,726,12,2,14,3.6,5.8,2.7,367,46,1.4,322,116,127,236,1.9,54,1.62,2.7
Egg hard-boiled,1 large,50,78,324,6,1,5,1.6,2,0.7,216,25,0.6,62,63,86,85,0.7,22,0.56,0.5
Egg poached,1 large,50,74,308,6,tr,5,1.5,1.9,0.7,215,27,0.9,147,67,95,70,0.4,24,0.64,0.5
Eggs benedict,2 eggs,310,572,2393,34,30,35,12.5,14.2,4.9,458,189,4,2015,456,453,265,2.1,113,1.96,1.7
Eggs scrambled made with 2 eggs,2 eggs,124,189,792,13,4,14,4.1,5.9,2.7,363,90,1.4,476,171,160,253,2.3,55,1.73,2.6
Omelet cheese made with 2 eggs,1 omelet,150,273,1142,18,5,20,8,7.8,2.8,376,238,1.6,890,241,356,304,2.3,56,1.99,2.7
Omelet spanish made with 2 eggs (mushrooms onions green peppers tomatoes),1 omelet,290,319,1336,15,13,24,5.7,10.4,6.3,353,111,1.8,607,514,211,403,4.3,72,1.7,3.7
Omelet western made with 2 eggs (green peppers ham onions),1 omelet,158,237,993,17,5,17,5.1,7.3,2.9,346,86,1.5,720,258,202,231,2.2,53,1.72,2.5
#Fish and Shellfish
Anchovies canned in oil drained solids,2,8,17,70,2,0,1,0.2,0.2,0.1,0.06,7,19,0.4,293,44,20,1,0.1,0.07,0.3
Arctic char cooked,75 g,75,119,496,20,0,4,0.7,0.9,0.3,0.38,N/A,23,0.4,38,N/A,188,68,2.8,N/A,N/A
Bass mixed species baked or broiled,75 g,75,110,458,18,0,4,0.8,1,0.34,0.23,65,77,1.4,68,342,192,26,N/A,1.73,N/A
Burbot (loche) raw,90 g,90,71,297,16,0,1,0.1,0.3,0.09,0.06,54,22,0.3,63,288,171,5,0.5,0.72,N/A
Catfish channel farmed baked or broiled,75 g,75,114,477,14,0,6,1.3,1,0.1,0.04,48,7,0.6,60,241,184,11,N/A,2.1,1
Cisco (lake herring tullibee) baked or broiled,75 g,75,98,408,17,0,3,N/A,N/A,N/A,N/A,N/A,38,0.5,38,312,188,0,N/A,N/A,N/A
Cisco (lake herring tullibee) raw,90 g,90,88,369,17,0,2,1.1,1.2,0.46,0.11,45,10,0.4,50,319,137,27,N/A,0.9,N/A
Cod Atlantic baked or broiled,75 g,75,79,329,17,0,1,0.1,0.2,0.12,tr,41,11,0.4,59,183,104,11,0.5,0.79,0.6
Cod Atlantic dried and salted soaked in water,75 g,75,62,259,13,0,1,0.1,0.2,0.09,tr,32,35,0.5,1353,265,183,9,0.5,1.82,0.6
Gefiltefish,75 g,75,63,263,7,6,1,0.3,0.2,0.03,0.06,23,17,1.9,393,68,55,20,N/A,0.63,N/A
Grayling baked or broiled,75 g,75,80,332,17,0,1,N/A,N/A,N/A,N/A,N/A,29,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haddock baked or broiled,75 g,75,84,351,18,0,1,0.1,0.2,0.12,0.06,56,32,1,65,299,181,14,0.2,1.04,0.4
Halibut Atlantic and Pacific baked or broiled,75 g,75,105,439,20,0,2,0.3,0.7,0.28,0.07,31,45,0.8,52,432,214,41,3.6,1.03,2.2
Herring Atlantic kippered,75 g,75,163,680,18,0,9,2.1,2.2,0.88,0.73,62,63,1.1,689,335,244,30,1.6,14.03,1.2
Mackerel Atlantic baked or broiled,75 g,75,197,822,18,0,13,3.1,3.2,0.52,0.38,56,11,1.2,62,301,209,41,2,14.25,1.5
Ocean Perch Atlantic baked or broiled,75 g,75,91,380,18,0,2,0.2,0.4,0.2,0.08,41,103,0.9,72,263,208,11,N/A,0.86,1.2
Pickerel (Walleye) baked or broiled,75 g,75,89,374,18,0,1,0.2,0.4,0.22,0.08,83,106,1.3,49,374,202,18,3.5,1.73,N/A
Pike northern baked or broiled,75 g,75,71,298,16,0,1,0.2,0.2,0.08,0.08,38,33,0.3,23,323,180,1,2.4,1.73,0.2
Pollock Atlantic baked or broiled,75 g,75,89,370,19,0,1,0.1,0.5,0.34,0.07,68,58,0.4,83,342,212,9,1.4,2.76,0.2
Salmon Atlantic farmed baked or broiled,75 g,75,155,646,17,0,9,1.9,3.3,1.09,0.52,47,11,0.3,46,288,189,11,5.1,2.1,N/A
Salmon chum (keta) baked or broiled,75 g,75,116,483,19,0,4,0.8,0.9,0.38,0.22,71,11,0.5,48,413,272,26,14,2.6,1.1
Salmon chum (keta) canned drained solids with bone salted,75 g,75,106,443,16,0,4,1.1,1.1,0.53,0.35,29,187,0.5,365,225,266,14,5,3.3,1.2
Salmon chum (keta) canned drained solids with bone unsalted,75 g,75,106,443,16,0,4,1.1,1.1,0.53,0.35,29,187,0.5,56,225,266,14,4.2,3.3,1.2
Salmon coho farmed baked or broiled,75 g,75,134,558,18,0,6,1.5,1.5,0.65,0.31,47,9,0.3,39,345,249,44,N/A,2.38,0.7
Salmon eggs raw,90 g,90,116,485,24,0,9,2.1,2.3,1.17,0.99,N/A,11,0.6,45,369,198,N/A,N/A,N/A,N/A
Salmon king or chinook smoked canned,75 g,75,113,470,17,1,4,N/A,N/A,N/A,N/A,N/A,45,1.4,N/A,N/A,N/A,72,N/A,N/A,N/A
Salmon pink canned drained with bones,75 g,75,102,427,17,0,4,0.6,1.1,0.52,0.27,62,208,0.7,299,233,274,17,N/A,3.71,1
Salmon smoked,2 pieces,40,47,196,7,0,2,0.4,0.4,0.11,0.07,9,4,0.3,314,70,66,10,4.2,1.3,0.5
Salmon smoked lox,2 pieces,40,47,196,7,0,2,0.4,0.4,0.11,0.07,9,4,0.3,800,70,66,10,4.2,1.3,N/A
Salmon sockeye baked or broiled,75 g,75,162,677,20,0,8,1.4,1.8,0.53,0.4,65,5,0.4,50,281,207,47,17,4.35,2.3
Sardines Atlantic canned in oil drained with bones,1 can,106,220,922,26,0,12,1.6,5.5,0.54,0.5,151,405,3.1,535,421,519,34,2.5,9.48,2.2
Sardines Pacific canned in tomato sauce drained with bones,1 can,106,197,825,22,1,11,2.8,2.2,0.92,0.56,65,254,2.4,439,361,388,36,12.7,9.54,1.5
